Organism,Read_Count,Relative_Abundance
Saccharomyces Saccharomyces_paradoxus,1939.0,71.7085798816568
Aspergillus Aspergillus_fumigatus,599.0,22.152366863905325
Candida Candida_albicans,166.0,6.1390532544378695
